1.42	3.88	7.04	1.63	2.1	111.9	0.0	1.0	0.0	1.0	1	1	1.17	2.33	1.83	1.33	0.67	1.0	1.0	0	1	1	1	2
2.68	3.19	2.39	1.84	1.89	-16.88	2.0	1.0	1.0	1.0	1	1	1.0	0.67	0.83	1.17	1.83	1.5	1.0	0	2	2	0	4
1.55	3.57	5.46	1.79	1.93	2.38	0.0	1.0	1.0	0.0	1	1	1.5	1.33	1.17	1.17	0.33	0.33	1.0	0	1	1	1	2
1.55	3.57	5.6	1.76	1.98	59.71	0.0	0.0	0.0	0.0	2	1	1.17	1.67	1.5	1.67	1.17	0.83	0.0	1	2	1	0	3
1.56	3.59	5.54	1.72	2.02	-14.98	0.0	1.0	2.0	1.0	1	1	1.83	1.17	0.67	1.33	1.5	1.33	0.0	2	2	0	1	2
3.5	3.26	1.96	1.74	1.97	-20.92	0.0	0.0	2.0	1.0	2	1	2.0	0.67	0.67	1.17	1.33	1.17	0.0	1	2	1	0	3
1.5	3.66	6.05	1.66	2.08	35.02	0.0	0.0	0.0	0.0	2	1	1.33	1.33	1.0	2.0	1.5	0.83	0.0	3	4	1	0	5
1.59	3.51	5.26	1.68	2.05	162.42	0.0	0.0	0.0	0.0	2	1	0.5	1.83	3.0	1.33	1.83	1.33	1.0	0	0	0	1	0
1.71	3.34	4.51	1.94	1.8	74.53	0.0	0.0	1.0	0.0	2	1	1.0	1.5	1.33	0.67	0.83	1.5	0.0	2	4	2	0	6
2.4	3.19	2.66	1.85	1.88	-24.15	0.0	1.0	2.0	0.0	1	1	1.83	1.0	1.0	1.17	2.0	1.67	2.0	-1	1	2	0	3
1.42	3.88	6.96	1.68	2.05	217.19	0.0	0.0	0.0	0.0	3	1	1.0	2.17	2.17	1.5	0.83	1.17	2.0	-2	2	4	0	6
1.74	3.36	4.37	1.72	2.02	67.72	0.0	0.0	0.0	0.0	3	1	1.67	2.17	1.67	2.0	0.5	0.33	0.0	2	2	0	1	2
2.08	3.22	3.23	1.71	2.02	35.1	0.0	0.0	1.0	0.0	2	1	2.0	2.17	1.5	1.33	2.33	2.17	1.0	0	3	3	0	6
1.34	4.27	8.18	1.6	2.16	67.31	0.0	0.0	0.0	0.0	3	2	1.67	2.17	1.83	3.17	0.67	0.17	0.0	1	1	0	1	1
2.7	3.19	2.4	1.79	1.97	-87.28	2.0	2.0	1.0	2.0	1	2	2.33	1.0	0.67	1.67	2.33	2.17	0.0	1	2	1	0	3
2.38	3.2	2.74	1.82	1.93	-265.72	2.0	2.0	2.0	2.0	1	3	1.67	1.83	1.67	0.83	3.17	2.67	0.0	1	3	2	0	5
1.66	3.43	4.73	1.76	1.98	115.74	0.0	0.0	0.0	0.0	2	1	0.5	1.5	2.33	1.83	2.0	1.67	1.0	0	0	0	1	0
2.95	3.22	2.2	1.97	1.75	19.86	0.0	1.0	1.0	0.0	1	1	0.5	0.67	1.17	1.17	1.67	1.83	2.0	-1	0	1	1	1
2.08	3.24	3.23	1.85	1.9	63.96	0.0	0.0	1.0	0.0	2	1	1.17	1.5	1.83	0.83	1.17	1.5	0.0	1	2	1	0	3
2.6	3.17	2.5	1.95	1.76	-38.5	2.0	1.0	1.0	2.0	1	1	1.5	1.0	1.17	0.83	1.33	2.17	0.0	2	2	0	1	2
2.65	3.2	2.43	1.95	1.78	-73.0	2.0	1.0	2.0	1.0	2	2	1.17	1.17	1.67	0.67	2.33	2.5	2.0	-1	2	3	0	5
2.52	3.19	2.54	2.01	1.71	52.36	0.0	1.0	1.0	0.0	1	1	1.0	1.33	1.5	1.33	1.33	1.67	0.0	4	4	0	0	4
1.49	3.72	6.22	1.76	1.99	-9.98	0.0	1.0	1.0	0.0	2	2	1.67	0.83	1.17	1.17	0.83	0.83	2.0	-1	2	3	0	5
2.25	3.26	2.84	1.85	1.89	57.92	0.0	0.0	0.0	0.0	2	1	1.33	1.5	1.33	2.17	1.17	1.0	0.0	1	1	0	1	1
3.15	3.23	2.1	1.82	1.86	8.35	0.0	1.0	1.0	0.0	2	2	2.33	1.0	0.5	1.83	1.17	1.5	1.0	0	0	0	1	0
2.43	3.16	2.69	2.01	1.7	16.41	0.0	0.0	0.0	1.0	1	0	1.0	1.0	1.33	2.17	0.67	0.17	1.0	0	1	1	1	2
2.03	3.24	3.31	1.83	1.9	-113.48	2.0	2.0	2.0	2.0	2	3	2.0	0.83	0.33	1.0	2.17	2.67	0.0	1	2	1	0	3
2.57	3.2	2.49	1.81	1.92	-0.88	0.0	0.0	1.0	0.0	2	1	2.17	1.0	0.67	1.67	0.83	0.83	2.0	-3	0	3	0	3
2.25	3.19	2.87	1.91	1.83	-31.3	2.0	2.0	1.0	2.0	1	2	1.33	0.67	1.0	1.0	1.33	1.83	0.0	1	3	2	0	5
5.26	3.51	1.59	1.65	2.09	-76.63	2.0	2.0	1.0	2.0	1	2	1.5	0.67	1.0	1.17	1.67	1.5	1.0	0	2	2	0	4
1.86	3.25	3.86	1.97	1.76	0.92	1.0	2.0	1.0	1.0	0	1	1.17	0.5	0.5	1.83	1.0	1.0	0.0	6	6	0	0	6
1.72	3.39	4.43	1.73	1.99	-11.5	0.0	0.0	0.0	0.0	2	1	2.17	1.0	1.0	1.83	0.67	0.67	0.0	2	2	0	1	2
1.73	3.36	4.35	1.71	2.01	146.4	0.0	0.0	0.0	0.0	3	1	1.17	1.67	1.83	2.17	1.33	1.33	0.0	2	2	0	1	2
2.07	3.23	3.24	1.81	1.93	11.89	0.0	0.0	1.0	0.0	2	1	2.17	1.33	1.33	1.33	1.0	0.83	0.0	1	4	3	0	7
2.23	3.2	2.93	1.7	2.01	63.73	0.0	0.0	0.0	0.0	3	1	2.33	1.67	0.83	2.5	1.83	1.67	0.0	1	4	3	0	7
4.49	3.37	1.71	1.67	2.08	-141.75	2.0	1.0	2.0	2.0	2	2	2.83	1.83	1.17	0.5	1.67	2.67	2.0	-1	1	2	0	3
1.72	3.39	4.37	1.86	1.88	38.2	0.0	0.0	0.0	0.0	2	1	1.17	1.0	1.0	2.83	1.67	1.0	2.0	-2	1	3	0	4
2.22	3.2	2.96	1.79	1.95	47.35	0.0	0.0	0.0	0.0	3	1	2.0	2.17	1.5	2.33	1.0	0.5	2.0	-1	1	2	0	3
2.26	3.23	2.88	1.98	1.8	1.8	0.0	1.0	1.0	0.0	2	2	2.33	2.0	1.0	1.5	1.0	0.67	1.0	0	1	1	1	2
2.24	3.21	2.89	1.83	1.9	29.59	0.0	1.0	1.0	0.0	2	2	1.33	1.5	1.67	2.17	2.17	1.17	0.0	1	2	1	0	3
